read_num_transformed,per_cost,travel_days,photo_num,person_num_三五好友,person_num_亲子,person_num_家庭,person_num_情侣,person_num_独自一人,person_num_闺蜜,is_weekend,title_length,playmode1,playmode2
6985.0,1500,5,43,0,0,0,1,0,0,0,12,0,1.0
3676.0,2800,7,74,1,0,0,0,0,0,1,7,0,1.0
12000.0,800,3,103,0,0,0,1,0,0,0,16,0,1.0
1528.0,1000,4,5,0,0,1,0,0,0,0,7,0,1.0
4070.0,2000,7,101,0,0,1,0,0,0,1,12,0,1.0
3129.0,1000,3,63,1,0,0,0,0,0,0,16,0,1.0
2364.0,1200,4,41,0,0,0,1,0,0,0,19,1,1.0
2482.0,3500,5,46,0,0,0,1,0,0,1,18,0,1.0
2252.0,4500,4,36,0,0,1,0,0,0,1,7,1,1.0
1498.0,1500,4,47,0,0,0,0,0,1,0,10,0,1.0
5251.0,2000,6,121,0,0,1,0,0,0,1,10,0,1.0
3259.0,1000,4,62,0,0,1,0,0,0,0,17,1,1.0
3222.0,4000,8,33,0,0,1,0,0,0,1,19,1,1.0
5356.0,1800,4,20,0,1,0,0,0,0,0,9,0,1.0
60000.0,1500,6,60,0,0,1,0,0,0,1,14,0,1.0
1575.0,800,7,49,1,0,0,0,0,0,0,15,1,1.0
2632.0,800,0,1,1,0,0,0,0,0,1,13,0,1.0
1913.0,1600,5,81,0,0,0,0,0,1,0,9,0,1.0
2286.0,2700,6,17,1,0,0,0,0,0,0,7,0,1.0
2033.0,2000,5,12,0,0,0,0,0,1,0,10,0,1.0
3197.0,3000,5,18,0,0,0,1,0,0,0,7,0,1.0
2243.0,800,5,1,1,0,0,0,0,0,1,7,0,1.0
1795.0,900,4,10,0,0,0,0,1,0,0,6,1,0.0
3210.0,3000,6,244,0,0,0,0,1,0,0,9,0,1.0
1408.0,1200,4,34,1,0,0,0,0,0,0,16,0,1.0
30000.0,1000,3,6,0,0,1,0,0,0,0,11,1,1.0
9198.0,1000,3,64,0,0,0,0,0,1,0,14,0,1.0
1917.0,500,3,42,0,0,1,0,0,0,1,17,0,1.0
3320.0,1000,4,1,0,1,0,0,0,0,1,6,0,1.0
5361.0,1500,5,155,0,0,0,0,1,0,0,20,0,1.0
978.0,2000,5,0,0,0,0,0,1,0,1,8,1,1.0
2117.0,1700,5,78,0,0,0,1,0,0,1,4,0,1.0
3556.0,2000,7,77,0,1,0,0,0,0,1,10,0,1.0
3272.0,2190,4,73,1,0,0,0,0,0,1,20,0,1.0
16000.0,2000,5,145,0,0,0,0,1,0,0,7,1,1.0
295.0,1500,4,19,0,0,0,0,1,0,0,5,0,1.0
1352.0,240,1,0,1,0,0,0,0,0,0,14,0,1.0
2849.0,10000,5,10,0,0,1,0,0,0,0,10,1,0.0
3234.0,6000,5,84,1,0,0,0,0,0,0,18,0,1.0
11000.0,1130,3,48,0,0,1,0,0,0,0,10,1,1.0
