per_cost,travel_days,photo_num,person_num_三五好友,person_num_亲子,person_num_家庭,person_num_情侣,person_num_独自一人,person_num_闺蜜,is_weekend,title_length,z,playmode1,playmode2
2900,2,189,1,0,0,0,0,0,1,18,0.0,1,1.0
3000,4,23,1,0,0,0,0,0,0,17,0.0,1,1.0
1500,2,56,1,0,0,0,0,0,0,9,1.0,0,1.0
400,3,0,0,0,0,0,1,0,1,10,1.0,0,1.0
600,2,47,1,0,0,0,0,0,1,14,0.0,1,1.0
1000,5,220,0,0,0,1,0,0,1,16,1.0,1,1.0
1600,3,61,0,0,0,0,1,0,0,37,1.0,1,1.0
3000,6,127,0,0,1,0,0,0,0,7,1.0,1,0.0
1000,2,92,0,0,1,0,0,0,0,11,1.0,0,1.0
3000,5,92,0,0,0,0,1,0,0,4,1.0,1,0.0
1500,5,119,0,0,1,0,0,0,0,9,1.0,0,1.0
247,2,114,1,0,0,0,0,0,0,18,0.0,0,1.0
900,1,18,1,0,0,0,0,0,1,19,0.0,1,1.0
300,1,58,1,0,0,0,0,0,0,28,0.0,0,1.0
2000,2,144,1,0,0,0,0,0,1,29,0.0,1,1.0
900,4,48,0,0,0,0,0,1,0,8,1.0,1,1.0
1000,4,32,0,0,0,1,0,0,1,15,0.0,1,0.0
1500,3,51,1,0,0,0,0,0,0,5,1.0,1,1.0
500,2,37,1,0,0,0,0,0,0,9,0.0,1,1.0
400,3,22,0,0,0,0,0,1,0,9,0.0,0,1.0
1500,3,18,0,0,0,0,0,1,0,6,0.0,1,0.0
1000,3,18,1,0,0,0,0,0,1,28,0.0,1,1.0
3480,5,22,1,0,0,0,0,0,1,29,0.0,1,1.0
300,1,11,0,0,1,0,0,0,0,19,1.0,0,1.0
5000,3,40,1,0,0,0,0,0,0,34,1.0,1,1.0
300,2,11,0,0,1,0,0,0,1,5,1.0,0,1.0
1000,4,43,0,0,0,0,1,0,1,23,0.0,1,1.0
1500,3,28,1,0,0,0,0,0,1,29,0.0,1,1.0
5000,3,26,1,0,0,0,0,0,0,14,1.0,0,1.0
3000,4,25,1,0,0,0,0,0,0,10,1.0,0,1.0
3000,5,55,1,0,0,0,0,0,0,25,1.0,1,0.0
500,2,15,1,0,0,0,0,0,1,19,1.0,1,1.0
600,3,30,0,0,0,0,1,0,0,5,0.0,1,1.0
3000,5,111,1,0,0,0,0,0,0,18,1.0,1,0.0
2100,4,49,0,0,0,0,1,0,1,4,0.0,1,1.0
4000,4,21,0,1,0,0,0,0,0,10,0.0,1,0.0
4000,7,1193,0,0,1,0,0,0,0,22,0.0,0,1.0
3000,4,110,0,0,0,1,0,0,1,14,1.0,1,0.0
5200,9,358,0,0,0,0,0,1,0,7,1.0,1,1.0
4000,5,321,0,0,0,1,0,0,0,20,1.0,1,0.0
5000,8,92,0,0,0,0,1,0,1,26,0.0,1,1.0
3000,1,335,0,0,0,0,1,0,1,22,0.0,1,1.0
4000,7,232,0,0,0,1,0,0,0,37,1.0,1,1.0
3000,6,423,0,1,0,0,0,0,0,14,1.0,0,1.0
1000,4,213,1,0,0,0,0,0,0,11,1.0,1,1.0
5500,9,383,0,0,0,1,0,0,0,17,0.0,1,0.0
4500,7,630,0,0,0,1,0,0,0,20,0.0,0,1.0
3000,7,182,0,0,0,0,0,1,1,36,0.0,1,1.0
2200,8,102,1,0,0,0,0,0,0,7,0.0,0,1.0
2500,6,69,1,0,0,0,0,0,1,19,1.0,0,1.0
4000,7,67,0,0,0,0,0,1,1,3,0.0,1,1.0
2000,5,282,1,0,0,0,0,0,0,20,1.0,0,1.0
5000,5,108,0,0,1,0,0,0,1,17,0.0,1,1.0
2000,4,215,0,0,1,0,0,0,0,13,0.0,0,1.0
13000,8,641,1,0,0,0,0,0,0,30,0.0,1,1.0
300,1,91,0,0,0,1,0,0,1,32,0.0,0,1.0
2300,6,168,1,0,0,0,0,0,1,4,1.0,1,1.0
2000,2,79,0,0,0,0,1,0,0,5,1.0,1,1.0
500,2,68,0,0,0,0,1,0,1,10,1.0,0,1.0
1500,5,19,0,0,0,0,1,0,0,5,1.0,1,1.0
200,1,81,0,0,1,0,0,0,0,9,1.0,0,1.0
700,4,44,0,0,0,0,0,1,0,20,1.0,1,1.0
3000,2,223,0,0,0,1,0,0,1,17,1.0,0,1.0
600,2,22,1,0,0,0,0,0,0,9,1.0,1,1.0
1200,3,27,1,0,0,0,0,0,1,15,1.0,0,1.0
300,1,41,0,0,0,0,1,0,1,13,0.0,0,1.0
5600,9,243,0,0,0,0,0,1,0,10,1.0,1,1.0
550,4,113,1,0,0,0,0,0,0,14,1.0,1,0.0
2000,9,189,1,0,0,0,0,0,0,17,1.0,0,1.0
5000,8,158,1,0,0,0,0,0,0,10,0.0,0,1.0
4000,9,194,0,0,1,0,0,0,0,20,1.0,0,1.0
2200,8,30,0,0,1,0,0,0,1,13,0.0,1,1.0
4800,9,726,1,0,0,0,0,0,1,27,1.0,1,1.0
5500,7,247,0,0,0,1,0,0,0,18,1.0,0,1.0
2000,8,326,0,0,1,0,0,0,0,24,1.0,1,1.0
3200,6,458,1,0,0,0,0,0,0,16,0.0,1,1.0
3500,7,317,0,0,0,1,0,0,1,23,0.0,1,1.0
5500,9,182,1,0,0,0,0,0,1,10,1.0,1,0.0
2000,9,76,0,0,0,0,0,1,1,7,1.0,0,1.0
3000,1,355,0,0,0,0,0,1,1,16,0.0,1,1.0
5000,9,198,1,0,0,0,0,0,0,18,1.0,0,1.0
3000,5,153,0,0,0,0,0,1,0,17,1.0,0,1.0
2300,8,385,0,0,1,0,0,0,0,18,0.0,0,1.0
6000,6,352,1,0,0,0,0,0,0,26,0.0,1,1.0
