per_cost,travel_days,photo_num,person_num_三五好友,person_num_亲子,person_num_家庭,person_num_情侣,person_num_独自一人,person_num_闺蜜,is_weekend,title_length,z,playmode1,playmode2
5000,7,54,0,1,0,0,0,0,0,14,0.0,0,1.0
2000,6,88,0,0,1,0,0,0,0,12,1.0,1,1.0
800,3,113,0,0,1,0,0,0,1,7,1.0,1,1.0
2300,3,55,0,0,0,0,0,1,0,9,0.0,0,1.0
1500,2,136,1,0,0,0,0,0,0,27,1.0,1,1.0
3563,7,95,1,0,0,0,0,0,0,9,0.0,1,1.0
1764,3,110,0,0,0,0,0,1,0,14,0.0,1,1.0
3750,6,95,0,0,0,1,0,0,1,9,1.0,0,1.0
800,3,102,0,0,0,0,0,1,0,17,0.0,1,1.0
1000,4,53,0,0,1,0,0,0,0,18,0.0,1,1.0
5000,3,107,1,0,0,0,0,0,0,17,0.0,1,0.0
2600,3,81,0,0,0,0,1,0,0,18,1.0,1,1.0
2500,5,193,0,0,0,1,0,0,1,11,0.0,1,1.0
600,6,167,0,0,0,0,1,0,1,18,0.0,1,1.0
3500,3,196,1,0,0,0,0,0,0,17,0.0,1,1.0
1600,4,67,0,0,0,0,0,1,0,7,0.0,1,0.0
2000,3,90,0,0,0,0,1,0,0,5,0.0,1,1.0
2800,6,150,0,0,0,0,0,1,0,10,0.0,0,1.0
3000,5,51,0,0,0,0,1,0,1,5,0.0,0,1.0
3200,3,80,0,0,0,0,1,0,0,5,0.0,1,1.0
2000,4,129,0,0,0,1,0,0,0,12,0.0,0,1.0
2500,6,134,0,0,1,0,0,0,0,9,0.0,1,1.0
1700,4,31,0,0,0,0,0,1,0,10,1.0,0,1.0
1200,4,119,0,0,0,0,1,0,1,29,0.0,1,1.0
3000,3,122,0,0,1,0,0,0,1,9,0.0,0,1.0
3500,6,84,0,0,0,0,1,0,1,7,0.0,1,1.0
2000,3,134,1,0,0,0,0,0,1,16,0.0,1,1.0
3000,6,50,0,0,0,0,0,1,0,9,0.0,0,1.0
3000,3,57,1,0,0,0,0,0,0,14,0.0,0,1.0
3500,4,147,0,0,0,0,0,1,1,17,1.0,1,1.0
1800,5,86,0,0,1,0,0,0,1,12,0.0,1,1.0
2600,3,87,0,0,0,0,0,1,0,8,0.0,1,1.0
1500,5,78,0,0,1,0,0,0,0,18,1.0,1,0.0
500,2,65,0,0,0,0,1,0,0,15,1.0,0,1.0
200,2,46,1,0,0,0,0,0,1,28,0.0,0,1.0
1500,4,62,0,0,1,0,0,0,1,10,0.0,1,0.0
2200,4,15,1,0,0,0,0,0,1,4,0.0,0,1.0
2500,4,86,0,0,0,1,0,0,0,9,0.0,0,1.0
3500,5,110,0,0,0,0,1,0,1,9,0.0,1,1.0
4200,5,92,0,0,0,1,0,0,0,7,0.0,1,1.0
2000,5,83,0,0,0,1,0,0,0,15,0.0,0,1.0
2500,4,43,1,0,0,0,0,0,0,8,0.0,1,1.0
1400,3,40,0,0,0,1,0,0,0,19,0.0,1,0.0
1500,4,231,0,1,0,0,0,0,0,36,1.0,1,1.0
2100,4,57,0,0,1,0,0,0,0,5,0.0,1,1.0
3500,4,121,0,0,0,0,1,0,1,10,0.0,1,0.0
